Source,Destination,Packet_Count,Duration
fe80::106d:d9ff:fed9:8a55,ff02::16,2,0.401242
fe80::ccc8:daff:fe92:5ff9,ff02::16,1,0
fe80::7899:88ff:fe0d:92,ff02::16,2,0.500099
fe80::f8a8:b6ff:fe1c:c2a4,ff02::16,2,0.007627
fe80::fcb3:7cff:fe3c:b58c,ff02::16,1,0
fe80::1cfd:3dff:fe5d:84d9,ff02::16,2,0.184182
::,ff02::1:ff00:490,1,0
fe80::48ab:47ff:fe40:eb12,ff02::16,1,0
::,ff02::1:ff00:415,1,0
::,ff02::1:ff00:438,1,0
fe80::9cf8:52ff:feec:1807,ff02::16,1,0
fe80::10d6:54ff:fe71:8e39,ff02::16,1,0
fe80::f41e:29ff:fe77:a34e,ff02::16,1,0
::,ff02::1:ff00:497,1,0
::,ff02::1:ff00:465,1,0
fe80::3cba:87ff:fe04:332b,ff02::16,1,0
fe80::3cdf:52ff:fee9:ad08,ff02::16,1,0
fe80::54bd:8dff:fe25:f4e0,ff02::16,1,0
fe80::9c66:d8ff:feaf:cc61,ff02::16,1,0
::,ff02::1:ff00:452,1,0
::,ff02::1:ff00:418,1,0
fe80::7836:86ff:fe0a:ece,ff02::16,1,0
::,ff02::1:ff00:395,1,0
fe80::b44c:b7ff:fe49:9cc7,ff02::16,1,0
fe80::3058:49ff:fe01:9ab3,ff02::16,1,0
::,ff02::1:ff00:426,1,0
::,ff02::1:ff00:416,1,0
::,ff02::1:ff00:396,1,0
::,ff02::1:ff00:391,1,0
::,ff02::1:ff00:469,1,0
fe80::fc61:73ff:fe1a:8743,ff02::16,1,0
::,ff02::1:ff00:493,1,0
fe80::c02d:fdff:feb0:18d7,ff02::16,1,0
fe80::2430:61ff:feb2:e925,ff02::16,1,0
::,ff02::1:ff00:463,1,0
fe80::1ce2:61ff:fe30:43a8,ff02::16,1,0
::,ff02::1:ff00:436,1,0
fe80::5c3e:91ff:fe92:42b9,ff02::16,1,0
::,ff02::1:ff00:435,1,0
